idx, sentence
0,dự buổi họp_báo ủy_viên bộ chính_trị trưởng_ban tổ_chức trung_ương phạm_minh_chính ông trương_minh_tuấn bộ_trưởng bộ thông_tin truyền_thông nhà_báo thuận_hữu tổng_biên_tập báo nhân_dân chủ_tịch hội nhà_báo việt_nam nhà_báo vũ_văn_phúc tổng_biên_tập tạp_chí cộng_sản phạm_bình_minh tổng_giám_đốc đài_truyền_hình việt_nam nhà_báo ngô_minh_tuấn tổng_biên_tập tạp_chí xây_dựng đảng nhà_báo hồng thanh_quang tổng_biên_tập báo đại_đoàn_kết
1,giải báo_chí toàn_quốc về xây_dựng đảng giải báo_chí hằng năm ban tổ_chức trung_ương phối_hợp tạp_chí cộng_sản đài_truyền_hình việt_nam tổ_chức trao_tặng tác_phẩm báo_chí xuất_sắc viết sáng_tác về xây_dựng đảng mặt chính_trị tư_tưởng tổ_chức đạo_đức thuộc lĩnh_vực công_tác tổ_chức tuyên_giáo kiểm_tra dân_vận đối_ngoại phòng_chống tham_nhũng đăng phát phương_tiện_thông_tin_đại_chúng bộ thông_tin truyền_thông cấp phép
2,lễ trao giải diễn thời_điểm kỷ_niệm ngày thành_lập đảng 32 hàng năm
3,ngoài_ra giải dành trao cơ_quan báo_chí tiêu_biểu trong tuyên_truyền về xây_dựng đảng
4,đối_tượng tham_dự giải công_dân việt_nam nhà_báo chuyên_nghiệp chuyên tác_phẩm báo_chí đăng phát phương_tiện_thông_tin_đại_chúng cơ_quan nhà_nước thẩm_quyền cấp phép thuộc loại_hình báo in phát_thanh truyền_hình báo điện_tử
5,nêu thể_lệ giải báo_chí toàn_quốc về xây_dựng đảng ông ngô_minh_tuấn tổng_biên_tập tạp_chí xây_dựng đảng nêu rõ tác_giả dự giải vi_phạm quy_định về đạo_đức nghề_nghiệp người làm báo việt_nam vi_phạm luật báo_chí luật khác hiện_hành
6,hội_đồng chấm giải trưởng_ban tổ_chức giải quyết_định thành_lập cơ_sở đề_xuất hai cơ_quan tạp_chí cộng_sản tạp_chí xây_dựng đảng
7,ông ngô_minh_tuấn năm 2016 năm đầu_tiên phát_động giải báo_chí toàn_quốc về xây_dựng đảng đối_tượng xét giải tác_phẩm đăng phát kể ngày công_bố 19/5 đến hết ngày 31/10/2016
8,năm 2017 giải lựa_chọn tác_phẩm đăng phát ngày 1/11 năm đến 31/10 năm
9,ban tổ_chức trao 3 giải a 7 giải b 12 giải c 25 giải khuyến_khích tác_giả tác_phẩm 10 giải đồng_hạng xuất_sắc cơ_quan báo_chí tiêu_biểu
